date, pm25, pm10, o3, no2, so2, co
2020/11/16, 44, 13, 7, 2, 1, 7
2020/11/17, 37, 22, 5, 3, 1, 9
2020/11/18, 56, 22, 7, 3, , 8
2020/11/19, 52, 18, 4, 3, , 7
2020/11/20, 51, 17, 8, 2, , 6
2020/11/21, 42, 15, 8, 3, , 5
2020/11/22, 40, 22, 17, 3, , 6
2020/11/23, 57, 23, 8, 4, , 9
2020/11/24, 60, 16, 7, 2, , 8
2020/11/25, 57, 17, 3, 2, , 10
2020/11/26, 63, 28, 5, 2, , 12
2020/11/27, 72, 28, 4, 3, , 12
2020/11/28, 69, 17, 5, 1, , 11
2020/11/29, 57, 9, 6, , , 8
2020/11/30, 24, 7, 5, 2, , 9
2020/12/1, 28, 23, 6, 2, , 12
2020/12/2, 51, 7, 6, , , 8
2020/12/3, 18, 15, 9, 2, , 12
2020/12/4, 45, 16, 8, 1, , 10
2020/12/5, 37, 11, 7, 1, , 11
2020/12/6, 34, 13, 8, 1, , 11
2020/12/7, 46, 24, 7, 2, , 14
2020/12/8, 57, 23, 11, 1, , 12
2020/12/9, 66, 23, 7, 3, , 12
2020/12/10, 57, 43, 14, 4, , 9
2020/12/11, 97, 26, 11, 2, , 6
2020/12/12, 70, 18, 16, 2, , 6
2020/12/13, 56, 14, 12, 1, , 4
2020/12/14, 39, 17, 7, 1, , 5
2020/12/15, 40, 18, 10, 2, , 6
2020/12/16, 49, 11, 11, 1, , 4
2020/12/17, 36, 10, 9, 2, , 4
2020/12/18, 33, 20, 9, 2, , 6
2020/12/19, 52, 17, 15, 2, , 4
2020/12/20, 53, 9, 13, 1, , 2
2020/12/21, 33, 21, 10, 2, , 6
2020/12/22, 55, 19, 11, 2, , 5
2020/12/23, 43, 27, 13, 3, , 8
2020/12/24, 61, 14, 16, 1, , 3
2020/12/25, 45, 14, 23, 1, , 4
2020/12/26, 57, 15, 18, 1, , 4
2020/12/27, 43, 15, 17, 1, , 4
2020/12/28, 41, 20, 26, 2, , 3
2020/12/29, 46, 22, 25, 2, , 5
2020/12/30, 59, 31, 19, 4, , 6
2020/12/31, 75, 32, 16, 3, , 7
2021/1/1, 79, 11, 15, , , 2
