date, pm25, pm10, o3, no2, so2, co
2019/9/14, 18, 16, 8, 3, , 2
2019/9/15, 21, 17, 9, 2, , 3
2019/9/16, 20, 29, 8, 8, , 6
2019/9/17, 40, 46, 5, 13, , 13
2019/9/18, 76, 55, 3, 11, , 11
2019/9/19, 98, 42, 5, 10, , 15
2019/9/20, 74, 56, 1, 13, , 4
2019/9/21, 94, 20, 9, 7, , 
2019/9/22, 25, 24, 8, 8, , 
2019/9/23, 30, 34, 6, 8, , 
2019/9/24, 45, 42, 7, 10, , 14
2019/9/25, 67, 24, 12, 9, , 9
2019/9/26, 43, 24, 10, 5, , 8
2019/9/27, 33, 27, 8, 7, , 9
2019/9/28, 35, 28, 11, 7, , 8
2019/9/29, 38, 28, 9, 9, , 9
2019/9/30, 43, 27, 10, 8, , 12
2019/10/1, 38, 46, 9, 11, , 14
2019/4/2, 61, 30, 9, 10, , 13
2019/4/3, 62, 44, 27, 11, , 13
2019/4/4, 85, 38, 21, 7, , 3
2019/4/5, 75, 56, 22, 9, , 5
2019/4/6, 115, 39, 34, 7, , 5
2019/4/7, 75, 34, 37, 5, , 3
2019/4/8, 74, 43, 21, 8, , 8
2019/4/9, 89, 38, 8, 11, , 7
2019/4/10, 80, 40, 8, 12, , 10
2019/4/11, 82, 36, 13, 11, , 6
2019/4/12, 76, 30, 16, 8, , 4
2019/4/13, 68, 31, 16, 5, , 3
2019/4/14, 70, 29, 12, 8, , 7
2019/4/15, 65, 29, 500, 10, , 7
2019/4/16, 61, 26, , 9, , 8
2019/4/17, 53, 33, 3, 10, , 8
2019/4/18, 63, 26, 6, 8, , 8
2019/4/19, 54, 21, 8, 6, , 5
2019/4/20, 36, 22, 6, 7, , 4
2019/4/21, 45, 24, 9, 7, , 4
2019/4/22, 50, 31, 3, 10, , 11
2019/4/23, 65, 39, 9, 10, , 12
2019/4/24, 76, 31, 7, 8, , 10
2019/4/25, 65, 21, 9, 7, , 11
2019/4/26, 32, 20, 7, 7, , 13
2019/4/27, 36, 18, 12, 5, , 10
2019/4/28, 26, 12, 12, 2, , 4
2019/4/29, 15, 16, 11, 3, 1, 3
2019/4/30, 23, 19, 16, 5, , 5
2019/5/1, 38, 19, 17, 5, , 5
2019/5/2, 34, 25, 11, 6, , 3
2019/5/3, 53, 24, 12, 5, , 3
2019/5/4, 51, 21, 13, 6, , 4
2019/5/5, 36, 14, 16, 2, , 2
2019/5/6, 21, 15, 12, 3, , 4
2019/5/7, 21, 19, 10, 4, , 3
2019/5/8, 24, 18, 6, 7, , 4
2019/5/9, 30, 28, 3, 6, , 7
2019/5/10, 52, 37, 3, 7, , 7
2019/5/11, 70, 29, 3, 7, , 6
2019/5/12, 50, 13, 5, 4, , 4
2019/5/13, 19, 19, 6, 5, , 7
2019/5/14, 30, 19, 5, 4, , 8
2019/5/15, 34, 17, 7, 3, , 5
2019/5/16, 27, 30, 4, 4, 1, 18
2019/5/17, 60, 30, 3, 3, , 15
2019/5/18, 54, 30, 5, 4, 1, 16
2019/5/19, 50, 19, 9, 3, , 8
2019/5/20, 36, 20, 7, 4, , 9
2019/5/21, 39, 20, 5, 4, , 4
2019/5/22, 23, 19, 4, 4, , 5
2019/5/23, 32, 33, 1, 8, 1, 10
2019/5/24, 70, 25, 3, 6, , 10
2019/5/25, 50, 32, 4, 7, 10, 11
2019/5/26, 58, 17, 6, 4, 7, 7
2019/5/27, 24, 34, 4, 10, 4, 10
2019/5/28, 65, 21, 5, 7, , 16
2019/5/29, 33, 25, 5, 7, , 9
2019/5/30, 42, 37, 6, 9, , 9
2019/5/31, 70, 36, 3, 11, , 12
2019/6/1, 87, 26, 3, 10, , 12
2019/6/2, 61, 22, 8, 5, , 8
2019/6/3, 37, 12, 6, 3, , 4
2019/6/4, 15, 15, 5, 4, , 6
2019/6/5, 22, 14, 4, 3, , 6
2019/6/6, 22, 17, 2, 5, , 5
2019/6/7, 27, 20, 3, 5, , 
2019/6/8, 36, 22, 4, 4, , 1
2019/6/9, 35, 10, 4, 1, , 
2019/6/10, 14, 16, 1, 4, , 5
2019/6/11, 29, 18, 1, 3, , 4
2019/6/12, 28, 17, 2, 4, , 5
2019/6/13, 26, 22, 2, 5, , 8
2019/6/14, 42, 17, 3, 3, , 5
2019/6/15, 24, 13, 6, 3, , 3
2019/6/16, 18, 12, 6, 1, , 1
2019/6/17, 18, 13, 4, 2, , 3
2019/6/18, 19, 13, 3, 2, , 2
2019/6/19, 22, 13, 3, 2, , 4
2019/6/20, 18, 14, 3, 3, , 5
2019/6/21, 22, 15, 3, 4, , 7
2019/6/22, 21, 15, 4, 4, , 7
2019/6/23, 19, 12, 5, 2, , 6
2019/6/24, 14, 14, 3, 4, , 6
2019/6/25, 23, 23, 3, 6, , 8
2019/6/26, 39, 15, 6, 3, , 6
2019/6/27, 20, 23, 8, 3, , 6
2019/6/28, 37, 17, 3, 4, , 7
2019/6/29, 25, 15, 5, 4, , 8
2019/6/30, 24, 14, 6, 4, , 6
2019/7/1, 22, 18, 4, 5, , 8
2019/1/2, 26, 17, 10, 2, , 4
2019/1/3, 18, 17, 6, 3, , 3
2019/1/4, 20, 27, 6, 5, , 7
2019/1/5, 36, 30, 8, 7, , 9
2019/1/6, 48, 40, 9, 6, , 7
2019/1/7, 63, 31, 10, 6, , 9
2019/1/8, 60, 38, 6, 7, , 7
2019/1/9, 69, 46, 5, 7, , 6
2019/1/10, 75, 35, 4, 6, , 6
2019/1/11, 55, 43, 8, 8, , 7
2019/1/12, 79, 38, 8, 9, , 9
2019/1/13, 73, 32, 11, 8, , 9
2019/1/14, 61, , , , , 
2019/1/16, 47, 22, 6, 3, , 4
2019/1/17, 43, 24, 8, 3, , 5
2019/1/18, 42, 19, 8, 2, , 3
2019/1/19, 34, 20, 7, 2, , 4
2019/1/20, 31, 14, 7, 1, , 2
2019/1/21, 24, 25, 6, 3, , 5
2019/1/22, 39, 20, 7, 1, , 2
2019/1/23, 37, 20, 7, 1, , 2
2019/1/24, 35, 21, 7, 2, , 4
2019/1/25, 32, 22, 6, 2, , 5
2019/1/26, 36, 19, 5, 2, , 6
2019/1/27, 31, 26, 9, 3, , 5
2019/1/28, 44, 35, 3, 5, , 6
2019/1/29, 67, 36, 5, 5, , 7
2019/1/30, 70, 45, 9, 5, , 10
2019/1/31, 85, 39, 9, 6, , 10
2019/2/1, 76, 32, 10, 5, , 8
2019/2/2, 66, 42, 14, 5, , 7
2019/2/3, 87, 24, 14, 3, , 7
2019/2/4, 47, 41, 7, 5, , 7
2019/2/5, 78, 36, 6, 5, , 8
2019/2/6, 69, 30, 9, 5, , 11
2019/2/7, 55, 38, 10, 4, , 7
2019/2/8, 69, 35, 10, 4, , 7
2019/2/9, 65, 37, 8, 4, , 7
2019/2/10, 63, 32, 11, 4, , 7
2019/2/11, 53, 30, 10, 4, , 8
2019/2/12, 54, 32, 8, 4, , 6
2019/2/13, 62, 35, 10, 3, , 7
2019/2/14, 72, 44, 13, 4, , 8
2019/2/15, 86, 33, 11, 5, , 8
2019/2/16, 67, 36, 12, 3, , 4
2019/2/17, 71, 31, 13, 3, , 3
2019/2/18, 62, 40, 6, 5, , 8
2019/2/19, 75, 30, 11, 3, , 6
2019/2/20, 61, 32, 8, 4, , 5
2019/2/21, 67, 25, 10, 3, , 5
2019/2/22, 51, 32, 14, 5, , 6
2019/2/23, 65, 35, 15, 7, , 8
2019/2/24, 73, 30, 7, 6, , 6
2019/2/25, 71, 35, 12, 6, , 6
2019/2/26, 79, 41, 13, 6, , 8
2019/2/27, 90, 38, 14, 7, , 7
2019/2/28, 84, 29, 10, 7, 4, 8
2019/3/1, 69, 42, 10, 12, 7, 15
2019/3/2, 89, 37, 11, 11, 7, 13
2019/3/3, 76, 33, 13, 7, 7, 8
2019/3/4, 70, 38, 11, 10, 8, 10
2019/3/5, 84, 40, 10, 10, 6, 8
2019/3/6, 88, 40, 12, 7, 4, 7
2019/3/7, 81, 50, 11, 10, 3, 12
2019/3/8, 105, 39, 11, 6, 3, 7
2019/3/9, 85, 24, 11, 5, 2, 5
2019/3/10, 53, 18, 11, 2, 2, 3
2019/3/11, 40, 22, 9, 5, 3, 5
2019/3/12, 45, 35, 8, 10, 3, 10
2019/3/13, 76, 34, 12, 8, , 9
2019/3/14, 78, 35, 11, 7, , 7
2019/3/15, 75, 30, 11, 8, , 8
2019/3/16, 68, 25, 12, 7, , 7
2019/3/17, 52, 23, 15, 4, , 5
2019/3/18, 54, 35, 13, 6, 2, 10
2019/3/19, 74, 34, 9, 6, , 5
2019/3/20, 72, 35, 5, 10, , 9
2019/3/21, 81, 41, 4, 9, , 8
2019/3/22, 90, 37, 3, 10, , 8
2019/3/23, 82, 41, 8, 9, , 8
2019/3/24, 85, , , 6, , 6
2019/3/27, 110, 51, 25, 10, , 10
2019/3/28, 114, 59, 20, 12, , 11
2019/3/29, 131, 42, 19, 11, , 10
2019/3/30, 93, 30, 16, 8, , 7
2019/3/31, 72, 19, 22, 4, , 6
2019/4/1, 46, 31, 12, 8, , 8
2018/10/2, 59, 25, 4, 8, , 10
2018/10/3, 52, 26, 23, 9, , 8
2018/10/4, 58, 31, 6, 8, , 5
2018/10/5, 63, 41, 4, 11, , 4
2018/10/6, 94, 33, 6, 10, , 7
2018/10/7, 80, 22, 8, 7, , 6
2018/10/8, 60, 22, 8, 7, , 5
2018/10/13, 81, 45, 9, 10, , 9
2018/10/14, 82, 37, 9, 8, , 8
2018/10/15, 69, 22, 10, 5, , 6
2018/10/16, 36, 18, 10, 7, , 6
2018/10/17, 24, 27, 13, 9, , 9
2018/10/18, 40, 44, 12, 12, , 10
2018/10/19, 84, 48, 12, 9, , 8
2018/10/20, 83, 31, 11, 8, , 8
2018/10/21, 53, 21, 7, 7, , 3
2018/10/22, 37, 32, 7, 7, , 6
2018/10/23, 53, 32, 7, 8, 9, 13
2018/10/24, 52, 30, 8, 7, , 13
2018/10/25, 49, 33, 7, 8, , 12
2018/10/26, 59, 26, 6, 7, , 12
2018/10/27, 43, 16, 11, 4, , 9
2018/10/28, 19, 22, 11, 5, , 12
2018/10/29, 31, 17, 9, 5, , 12
2018/10/30, 22, 21, 9, 7, , 15
2018/10/31, 35, 22, 9, 8, 6, 15
2018/11/1, 37, 18, 9, 4, 5, 10
2018/11/2, 30, 20, 9, 6, 5, 13
2018/11/3, 28, 27, 8, 7, 5, 13
2018/11/4, 48, 31, 10, 8, 6, 17
2018/11/5, 57, 23, 7, 4, 5, 2
2018/11/6, 47, 32, 9, 6, 5, 12
2018/11/7, 61, 29, 6, 7, 4, 12
2018/11/8, 55, 25, 6, 10, , 18
2018/11/9, 45, 39, 2, 12, , 18
2018/11/10, 75, 27, 46, 12, , 18
2018/11/11, 54, 16, 127, 8, , 17
2018/11/12, 23, 14, 10, 3, , 5
2018/11/13, 17, 25, , 7, 2, 20
2018/11/14, 40, 38, 10, 12, , 26
2018/11/15, 73, 51, 21, 12, , 12
2018/11/16, 106, 33, 1, 9, , 18
2018/11/17, 64, 25, 2, 7, , 16
2018/11/18, 48, 17, 1, 6, , 16
2018/11/19, 33, 23, 3, 6, , 15
2018/11/20, 39, 17, 6, 5, 2, 14
2018/11/21, 20, 23, 6, 6, , 16
2018/11/22, 35, 52, 6, 9, , 17
2018/11/23, 98, 38, 11, 7, , 15
2018/11/24, 68, 37, 6, 8, , 18
2018/11/25, 74, 23, 9, 5, , 15
2018/11/26, 38, 28, 6, 7, , 9
2018/11/27, 54, 44, 4, 8, , 14
2018/11/28, 87, 24, 12, 6, , 14
2018/11/29, 43, 37, 6, 9, , 16
2018/11/30, 68, 38, 5, 9, , 18
2018/12/1, 76, 34, 9, 6, , 16
2018/12/2, 64, 28, 16, 4, , 14
2018/12/3, 53, 45, 13, 6, , 16
2018/12/4, 85, 44, 11, 5, , 16
2018/12/5, 76, 34, 9, 6, , 12
2018/12/6, 59, 39, 7, 10, , 11
2018/12/7, 84, 25, 10, 7, , 11
2018/12/8, 45, 30, 10, 7, , 10
2018/12/9, 61, 24, 9, 6, , 12
2018/12/10, 49, 21, 6, 7, , 13
2018/12/11, 37, 13, 5, 5, 2, 16
2018/12/12, 37, 24, 3, 5, , 11
2018/12/13, 33, 27, 5, 5, , 11
2018/12/14, 31, 26, 5, 6, , 14
2018/12/15, 38, 34, 9, 5, , 15
2018/12/16, 41, 32, 12, 6, , 11
2018/12/17, 36, 29, 8, 9, 2, 15
2018/12/18, 41, 36, 9, 9, , 14
2018/12/19, 53, 30, 5, 6, , 11
2018/12/20, 36, 42, 6, 9, , 13
2018/12/21, 52, 25, 9, 6, , 10
2018/12/22, 33, 27, 10, 5, , 9
2018/12/23, 29, 29, 10, 6, , 11
2018/12/24, 39, 18, 10, 7, , 11
2018/12/25, 23, 20, 14, 5, , 10
2018/12/26, 19, 23, 10, 6, , 10
2018/12/27, 32, 19, 5, 4, , 8
2018/12/28, 27, 31, 7, 4, , 9
2018/12/29, 31, 23, 8, 3, , 8
2018/12/30, 24, 24, 11, 4, , 11
2018/12/31, 28, , , , , 
2018/7/2, 49, 27, 8, 8, , 4
2018/7/3, 58, 31, 5, 9, , 7
2018/7/4, 65, 22, 7, 6, , 5
2018/7/5, 46, 18, 6, 3, , 3
2018/7/6, 40, 23, 5, 6, , 6
2018/7/7, 43, 20, 8, 6, , 8
2018/7/8, 46, 15, 7, 4, , 4
2018/7/9, 33, 15, 7, 4, , 4
2018/7/10, 37, 15, 5, 4, , 5
2018/7/11, 42, 17, 6, 6, , 3
2018/7/12, 41, 16, 6, 3, , 3
2018/7/13, 42, 17, 5, 4, , 2
2018/7/14, 41, 13, 7, 2, , 2
2018/7/15, 28, 12, 8, 2, , 2
2018/7/16, 25, 19, 7, 7, , 4
2018/7/17, 41, 18, 7, 6, , 4
2018/7/18, 42, 17, 10, 3, , 3
2018/7/19, 34, 18, 7, 4, , 3
2018/7/20, 38, 17, 9, 2, , 2
2018/7/21, 31, 24, 9, 3, , 3
2018/7/22, 47, 33, 8, 1, , 2
2018/7/23, 61, 22, 7, 5, , 4
2018/7/24, 47, 19, 5, 6, , 2
2018/7/25, 42, 22, 6, 5, , 
2018/7/26, 42, 16, 6, 3, , 
2018/7/27, 38, 17, 6, 4, , 5
2018/7/28, 38, 18, 6, 4, , 4
2018/7/29, 35, 14, 8, 2, , 3
2018/7/30, 27, 16, 6, 4, , 5
2018/7/31, 34, 21, 6, 5, , 8
2018/8/1, 48, 19, 3, , , 5
2018/8/2, 33, 17, 6, , , 6
2018/8/3, 42, 21, 8, , , 6
2018/8/4, 48, 24, 6, , , 5
2018/8/5, 59, 17, 8, , , 3
2018/8/6, 37, 18, 8, , , 4
2018/8/7, 41, 16, 11, , , 3
2018/8/8, 29, 18, 7, , , 4
2018/8/9, 40, 18, 7, 5, , 4
2018/8/10, 44, 16, 10, 3, , 4
2018/8/11, 38, 18, 8, 4, , 4
2018/8/12, 41, 13, 10, 2, , 3
2018/8/13, 31, 10, 6, 5, , 4
2018/8/17, 33, 15, 8, 5, , 6
2018/8/18, 30, 16, 8, 4, , 6
2018/8/19, 35, 11, 4, 3, , 3
2018/8/20, 27, , , , , 
2018/8/22, 27, 15, 11, 4, , 4
2018/8/23, 23, 19, 8, 6, , 7
2018/8/24, 28, 17, 12, 6, , 6
2018/8/25, 25, 17, 10, 4, , 4
2018/8/26, 24, 12, 13, 2, , 3
2018/8/27, 25, 16, 11, 4, , 5
2018/8/28, 30, 18, 9, 5, , 7
2018/8/29, 36, 19, 7, 7, , 7
2018/8/30, 36, 20, 9, 6, , 6
2018/8/31, 38, 21, 9, 6, , 7
2018/9/1, 39, 21, 10, 6, , 7
2018/9/2, 39, 18, 12, 6, , 6
2018/9/3, 38, 17, 11, 5, , 5
2018/9/4, 36, 14, 10, 5, , 4
2018/9/5, 26, 24, 10, 8, , 5
2018/9/6, 46, 38, 5, 11, , 8
2018/9/7, 91, 28, 6, 8, , 5
2018/9/8, 63, 21, 7, 5, , 5
2018/9/9, 43, 12, 10, 3, , 3
2018/9/10, 29, 20, 9, 7, , 6
2018/9/11, 34, 31, 9, 10, , 5
2018/9/12, 69, 41, 6, 14, 1, 12
2018/9/13, 101, 57, 5, 13, 1, 13
2018/9/14, 114, 40, 8, 11, 1, 10
2018/9/15, 93, 33, 6, 9, 1, 10
2018/9/16, 75, 16, 11, 3, , 3
2018/9/17, 27, 23, 11, 6, 3, 10
2018/9/18, 38, 18, 11, 5, 3, 5
2018/9/19, 39, 17, 10, 4, 3, 4
2018/9/20, 31, 16, 13, 3, 3, 4
2018/9/21, 30, 21, 11, 6, 3, 6
2018/9/22, 40, 20, 11, 5, 3, 4
2018/9/23, 38, 17, 13, 4, 3, 6
2018/9/24, 31, 16, 12, 4, 1, 6
2018/9/25, 36, 18, 11, 5, , 9
2018/9/26, 39, 21, 9, 4, , 10
2018/9/27, 44, 21, 9, 7, , 10
2018/9/28, 43, 22, 11, 6, , 12
2018/9/29, 45, 21, 13, 6, , 10
2018/9/30, 42, 17, 13, 4, , 10
2018/10/1, 39, 25, 8, 8, , 11
2018/4/2, 49, 42, 4, , , 
2018/4/3, 91, 41, 6, , , 
2018/4/4, 98, 35, 6, , , 
2018/4/5, 75, 41, 8, , , 
2018/4/6, 89, 36, 4, , , 
2018/4/7, 86, 37, 8, , , 
2018/4/8, 77, 36, 11, , , 
2018/4/9, 75, 36, 11, , , 
2018/4/10, 76, 32, 2, , , 
2018/4/11, 74, 47, 2, , , 
2018/4/12, 119, 43, 3, , , 
2018/4/13, 80, 46, 7, , , 
2018/4/14, 97, 25, 10, , , 
2018/4/15, 48, , , , , 
2018/4/17, 72, 40, 8, , , 
2018/4/18, 72, 28, 7, , , 
2018/4/19, 55, 14, 6, , , 
2018/4/20, 23, 20, 4, , , 
2018/4/21, 39, 20, 7, , , 
2018/4/22, 39, 19, 9, , , 
2018/4/23, 36, 17, 6, , , 
2018/4/24, 29, 25, 7, , , 
2018/4/25, 46, 21, 6, , , 
2018/4/26, 37, 22, 6, , , 
2018/4/27, 39, 32, 3, , , 
2018/4/28, 60, 39, 5, , , 
2018/4/29, 75, 27, 1, , , 
2018/4/30, 56, 23, 8, , , 
2018/5/1, 39, 26, 9, , , 
2018/5/2, 50, 23, 5, , , 
2018/5/3, 40, 29, 3, , , 
2018/5/4, 54, 34, 3, , , 
2018/5/5, 65, 36, , , , 
2018/5/6, 68, , , , , 
2018/5/8, 88, 39, 3, , , 
2018/5/9, 90, 30, 3, , , 
2018/5/10, 59, 45, 1, , , 
2018/5/11, 89, 30, 3, , , 
2018/5/12, 71, 14, 6, , , 
2018/5/13, 27, 19, 7, 9, , 
2018/5/14, 42, 20, 6, 8, , 
2018/5/15, 46, 25, 4, 11, , 
2018/5/16, 65, 19, 6, 7, , 4
2018/5/17, 39, 18, 7, 8, , 4
2018/5/18, 34, 31, 8, 11, , 8
2018/5/19, 59, 43, , 9, , 6
2018/5/20, 73, , , , , 
2018/5/23, 49, 23, 4, 7, , 5
2018/5/24, 47, 23, 4, 7, , 4
2018/5/25, 45, 24, 4, 5, , 5
2018/5/26, 46, 18, 5, 5, , 3
2018/5/27, 26, 22, 4, 7, , 4
2018/5/28, 34, 22, 4, 7, , 5
2018/5/29, 42, 20, 5, 7, , 
2018/5/30, 32, 30, 5, 8, , 
2018/5/31, 49, 20, 6, 6, , 5
2018/6/1, 29, 22, 5, , , 8
2018/6/2, 40, 20, 6, , , 
2018/6/3, 36, 17, 6, , , 
2018/6/4, 22, 17, 4, , , 
2018/6/5, 27, 19, 5, , , 5
2018/6/6, 26, 17, 6, , , 4
2018/6/7, 24, 19, 6, , , 8
2018/6/8, 28, 22, 6, , , 
2018/6/9, 37, 16, 7, , , 
2018/6/10, 23, 13, 7, , , 2
2018/6/11, 18, 14, 6, , , 2
2018/6/12, 21, 17, 8, 7, 1, 5
2018/6/13, 23, 17, 7, 6, , 5
2018/6/14, 28, 21, 5, 6, , 5
2018/6/15, 30, 21, 6, 6, , 5
2018/6/16, 3, 18, 6, 4, , 5
2018/6/17, 3, 14, 5, 2, , 2
2018/6/18, 3, 15, 5, 3, , 3
2018/6/19, 3, 14, 7, 3, , 3
2018/6/20, 3, 18, 6, 5, , 3
2018/6/21, 3, 23, 5, 6, , 5
2018/6/22, 3, 23, 6, 5, , 10
2018/6/23, 3, 16, 7, 3, , 9
2018/6/29, 45, 18, 8, 6, , 7
2018/6/30, 34, 23, 11, 8, , 5
2018/7/1, 45, 23, 9, 10, , 5
2018/3/8, 47, , , , , 
2018/3/13, 70, 32, 14, , , 
2018/3/14, 71, 31, 14, , , 
2018/3/15, 70, 40, 12, , , 
2018/3/16, 89, 29, 10, , , 
2018/3/17, 69, 33, 14, , , 
2018/3/18, 69, 42, 21, , , 
2018/3/19, 97, 32, 14, , , 
2018/3/20, 76, 42, 13, , , 
2018/3/21, 96, 34, 12, , , 
2018/3/22, 82, 36, 12, , , 
2018/3/23, 86, 45, 10, , , 
2018/3/24, 108, 36, 6, , , 
2018/3/25, 85, 29, 12, , , 
2018/3/26, 71, 33, 14, , , 
2018/3/27, 85, 40, 10, , , 
2018/3/28, 95, 39, 5, , , 
2018/3/29, 88, 17, 9, , , 
2018/3/30, 39, 26, 8, , , 
2018/3/31, 54, 26, 7, , , 
2018/4/1, 55, 23, 9, , , 
2017/10/2, 44, 36, 8, 5, , 7
2017/10/3, 80, 36, 6, 7, , 7
2017/10/4, 73, 19, 9, 4, , 5
2017/10/5, 35, 15, 11, 4, , 4
2017/10/6, 24, 19, 12, 5, , 6
2017/10/7, 33, 17, 9, 5, , 6
2017/10/8, 24, , 10, 6, , 9
2017/10/9, 40, , 5, 9, , 13
2017/10/10, 76, 28, 8, 8, , 14
2017/10/11, 73, 33, 6, 7, , 10
2017/10/12, 63, 23, 9, 6, , 12
2017/10/13, 45, 17, 6, 4, , 6
2017/10/14, 28, 19, 6, 4, , 5
2017/10/15, 33, 15, 7, 2, , 3
2017/10/16, 24, 11, 6, , , 2
2017/10/17, 21, 18, 6, 2, , 4
2017/10/18, 29, 19, 7, 3, , 5
2017/10/19, 36, 31, 8, 7, , 9
2017/10/20, 58, 27, 8, 4, , 9
2017/10/21, 44, 23, 8, 1, , 7
2017/10/22, 18, 17, 9, , , 3
2017/10/23, 39, 18, 10, 5, , 5
2017/10/24, 38, 19, 8, 7, , 5
2017/10/25, 41, 21, 9, 7, , 
2017/10/26, 44, 46, 2, 13, , 
2017/10/27, 94, 34, 7, 11, , 11
2017/10/28, 71, , , , , 
2017/10/31, 76, 33, 6, 12, , 9
2017/11/1, 70, 42, 7, 9, , 9
2017/11/2, 94, 36, 6, 7, , 10
2017/11/3, 65, 44, 5, 11, , 13
2017/11/4, 90, 34, 2, 12, , 14
2017/11/5, 78, 30, 8, 7, , 11
2017/11/6, 64, 37, 11, 5, , 9
2017/11/7, 74, 34, 6, 7, , 10
2017/11/8, 74, 41, 5, 9, , 10
2017/11/9, 82, 46, 6, 11, , 9
2017/11/10, 96, 50, 4, 10, , 8
2017/11/11, 106, 35, 5, 7, , 7
2017/11/12, 74, 24, 8, 4, , 7
2017/11/13, 40, 24, 7, 4, , 6
2017/11/14, 44, 36, 2, 10, , 9
2017/11/15, 74, 41, 1, 11, , 10
2017/11/16, 90, 50, 7, 9, , 8
2017/11/17, 97, 37, 3, 7, , 7
2017/11/18, 72, 41, 6, 9, , 8
2017/11/19, 80, 32, 4, 5, , 5
2017/11/20, 65, 31, 4, 8, , 10
2017/11/21, 59, 45, 10, 11, , 13
2017/11/22, 84, 24, 2, , , 
2017/11/23, 78, , , 11, , 11
2017/7/6, 24, 13, 6, 4, , 3
2017/7/7, 19, 16, 6, 3, , 4
2017/7/8, 21, 17, 6, 3, , 5
2017/7/9, 20, 12, 7, 4, , 3
2017/7/10, 14, 14, 5, 2, , 3
2017/7/11, 28, 17, 3, 3, , 4
2017/7/12, 28, 13, 5, 3, , 4
2017/7/13, 15, 16, 6, 3, , 4
2017/7/14, 23, 33, 4, 3, , 6
2017/7/15, 58, , , 6, , 
2017/7/18, 18, 19, 5, 4, , 5
2017/7/19, 24, 16, 5, 2, , 4
2017/7/20, 24, 15, 6, 3, , 2
2017/7/21, 18, 18, 5, 3, , 3
2017/7/22, 27, 14, 4, 3, , 2
2017/7/23, 16, 12, 5, 2, , 2
2017/7/24, 19, 14, 5, 1, , 3
2017/7/25, 21, 17, 7, 2, , 3
2017/7/26, 28, , , 3, , 3
2017/7/29, 5, 15, 5, 3, , 7
2017/7/30, 22, 11, 4, 4, , 
2017/7/31, 13, 17, 8, 2, , 6
2017/8/1, 32, 20, 7, 4, , 6
2017/8/2, 34, 28, 8, 7, , 8
2017/8/3, 45, 21, 6, 8, , 7
2017/8/4, 34, 19, 5, 5, , 5
2017/8/5, 31, 15, 8, 3, , 4
2017/8/6, 23, 14, 7, 3, , 3
2017/8/7, 23, 16, 7, 3, , 2
2017/8/8, 27, 19, 7, 2, , 5
2017/8/9, 32, 17, 8, 4, , 5
2017/8/10, 22, 22, 8, 4, , 7
2017/8/11, 34, 20, 7, 5, , 7
2017/8/12, 26, 15, 8, 5, , 4
2017/8/13, 25, 15, 9, 5, , 3
2017/8/14, 22, 20, 9, 2, , 6
2017/8/15, 29, 22, 12, 6, , 6
2017/8/16, 35, 21, 8, 7, , 5
2017/8/17, 36, 24, 8, 8, , 6
2017/8/18, 42, 43, 7, 7, , 7
2017/8/19, 87, 34, 5, 10, , 6
2017/8/20, 82, 19, 9, 9, , 3
2017/8/21, 27, 15, 8, 5, , 2
2017/8/22, 22, 16, 10, 2, , 2
2017/8/23, 27, 20, 14, 4, , 7
2017/8/24, 38, 18, 7, 7, , 5
2017/8/25, 31, 15, 7, 6, , 5
2017/8/26, 24, 19, 8, 4, , 4
2017/8/27, 25, 23, 10, 5, , 3
2017/8/28, 47, 18, 8, 5, , 5
2017/8/29, 33, 25, 5, 6, , 8
2017/8/30, 46, 17, 7, 6, , 4
2017/8/31, 33, 20, 8, 4, , 4
2017/9/1, 32, 20, 10, 3, , 5
2017/9/2, 41, 17, 9, 5, , 4
2017/9/3, 27, 15, 11, 4, , 3
2017/9/4, 20, 19, 9, 2, , 7
2017/9/5, 33, 25, 9, 6, , 6
2017/9/6, 44, , , 7, , 
2017/9/11, 30, 20, 8, 3, , 6
2017/9/12, 30, 18, 7, 4, , 6
2017/9/13, 26, 18, 7, 4, , 6
2017/9/14, 31, 19, 9, 4, , 5
2017/9/15, 35, 18, 8, 5, , 6
2017/9/16, 37, 22, 8, 4, , 6
2017/9/17, 36, 11, 7, 4, , 3
2017/9/18, 17, 16, 5, 2, , 5
2017/9/19, 25, 40, 9, 5, , 8
2017/9/20, 74, 42, 8, 9, , 7
2017/9/21, 86, 32, 9, 9, , 9
2017/9/22, 75, 32, 10, 8, , 10
2017/9/23, 68, 24, 8, 8, , 6
2017/9/24, 47, 15, 5, 6, , 5
2017/9/25, 24, 16, 7, 2, , 5
2017/9/26, 25, 29, 4, 3, , 10
2017/9/27, 57, 29, 5, 9, , 10
2017/9/28, 59, 34, 3, 8, , 9
2017/9/29, 62, 19, 8, 8, , 5
2017/9/30, 32, 17, 8, 5, , 5
2017/10/1, 25, 25, 8, 5, , 
2017/4/2, 36, 17, 8, , , 
2017/4/3, 40, 24, 14, , , 
2017/4/4, 42, 34, 14, , , 
2017/4/5, 62, 32, 12, , , 
2017/4/6, 65, 35, 11, , , 
2017/4/7, 61, 56, 13, , , 
2017/4/8, 107, 45, 13, , , 
2017/4/9, 95, 37, 7, , , 
2017/4/10, 75, 36, 10, , , 
2017/4/11, 82, 44, 6, , , 
2017/4/12, 94, 43, 7, , , 
2017/4/13, 94, , , , , 
2017/4/18, 41, 23, 5, , , 
2017/4/19, 53, 24, 7, , , 
2017/4/20, 53, 48, 1, , , 
